Date,Open,High,Low,Close,Volume,Open Interest
4/23/2018 0:00,1124.33,1127.24,1076.78,1076.78,1.95E+08,111712
4/24/2018 0:00,1064.86,1084.89,1048.68,1080.74,1.66E+08,96732
4/26/2018 0:00,1082.52,1082.52,1039.35,1044.86,1.85E+08,100423
4/27/2018 0:00,1037.36,1054.94,1031.89,1050.26,1.53E+08,93395
5/2/2018 0:00,1053.26,1053.52,1024.75,1029.08,1.52E+08,83898
5/3/2018 0:00,1018.47,1027.38,1003.79,1026.46,1.71E+08,91444
5/4/2018 0:00,1032.12,1037.02,1022.1,1026.8,1.26E+08,68777
5/7/2018 0:00,1034.64,1062.26,1028.79,1062.26,1.22E+08,76925
5/8/2018 0:00,1061.12,1072.28,1057.24,1060.45,1.31E+08,84213
5/9/2018 0:00,1058.33,1069.8,1051.79,1056.97,1.26E+08,75500
5/10/2018 0:00,1058.22,1059.34,1025.75,1028.87,1.44E+08,82796
5/11/2018 0:00,1026.34,1044.85,1014.3,1044.85,1.23E+08,73060
5/14/2018 0:00,1051.69,1066.98,1042.31,1066.98,1.13E+08,70394
5/15/2018 0:00,1072.25,1084.2,1071.02,1073.5,1.25E+08,82365
5/16/2018 0:00,1070.34,1072.46,1052.18,1054.62,1.21E+08,74743
5/17/2018 0:00,1055.21,1057.84,1030.64,1030.64,1.07E+08,69664
5/18/2018 0:00,1033.33,1040.84,1013.57,1040.54,1.18E+08,78124
5/21/2018 0:00,1043.82,1043.82,1014.98,1014.98,1.04E+08,71705
5/22/2018 0:00,1006.18,1015.97,976.73,985.91,1.59E+08,96862
5/23/2018 0:00,974.8,995.25,965.92,988.94,1.27E+08,81144
5/24/2018 0:00,992.24,995.82,974.14,985.92,1.05E+08,63993
5/25/2018 0:00,981.47,987.56,963.9,963.9,1.23E+08,75112
5/28/2018 0:00,938.86,951.34,927.47,931.75,1.91E+08,97051
5/29/2018 0:00,925.89,958.96,916,952.18,1.55E+08,90831
5/30/2018 0:00,953.41,953.41,932.26,948.5,1.18E+08,70718
5/31/2018 0:00,947.96,975.51,945.29,971.25,1.41E+08,80055
6/1/2018 0:00,973.67,995.06,973.56,992.87,1.61E+08,95830
6/4/2018 0:00,994.48,1013.78,992.01,1013.78,1.47E+08,91520
6/5/2018 0:00,1013.59,1025.26,1011.59,1022.74,1.73E+08,103539
6/6/2018 0:00,1020.97,1034.5,1012.98,1034.5,1.47E+08,92296
6/7/2018 0:00,1038.93,1043.71,1030.79,1036.69,1.52E+08,96650
6/8/2018 0:00,1032.59,1039.07,1026.94,1039.01,1.24E+08,79447
6/11/2018 0:00,1033.55,1045.6,1029.19,1039.02,1.34E+08,86822
6/12/2018 0:00,1033.55,1033.55,1005.1,1020.76,1.70E+08,112053
6/13/2018 0:00,1017.93,1030.53,1017.93,1030.53,9.45E+07,64724
6/14/2018 0:00,1032.62,1033.46,1015.72,1015.72,1.35E+08,84304
